LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
2,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
3,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
4,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
5,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
6,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
7,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
8,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
9,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
10,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
11,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
12,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
13,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
14,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
15,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
16,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
17,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
18,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
19,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
20,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
21,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
22,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
23,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
24,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
25,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
26,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
27,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
28,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
29,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
30,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
31,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
32,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
33,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
34,AppendData,(or,AddSubdirectory,or,CreatePipeInstance),Granted by	D:(A;;FA;;;S-1-5-21-450080267-1945256726-3465656282-1000),f8141c4b,Granted by <*>,[]
35,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
36,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
37,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
38,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
39,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
40,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
41,Privileges,Used,for,Access,Check,-,336d5ebc,-,[]
